date_info,name,title,content,rating
Reviewed in India on 4 June 2020,Abhishek jawharkar,Value for money,"Its Good Overall.. I previously used Sennheiser CX180 ,skulls and Audiotechnica.. Ordered Boult because I thought this is in my budget, got it for 450/- (you can get a better deal). Looks - looks super premium.. Feel - it's bulky, long wires. Looks sturdy and should last. It's shipped with small eartips and other option is too bigger. I feel is not the very comfortable earphones to wear but it's not very bad. It has wings which holds it pretty much in place.. Sound - sound wise its really something good, it feels it has good depth to it . It's not at all bass centric. Trust me you don't need heavy bass to dominate your music. I found it very good for psychedelic music it's does a good job but not the best and can't be compared to CX 180. Noise cancellation is best in class if you use smaller eartips. Again, lows mids and Highs are perfect , im not pro but I judge how well my techno music sounds.. I guess I will like it more as I use it more and it gets through sound burn.. Gaming - Really good for gaming , PUBG is good though again footsteps are very legible but there is room for improvement. Call quality is good.. Verdict - Value for money. If budget permits go for Sennheiser.. Yes this is made in china , I don't know how I feel about it. And it's 999/- on mrp so the deal I got is good. Edit : Right side ear bud stopped working after one month. Sigh. We can't even replace it after one month,I expected more from this buds.",4.0 out of 5 stars
Reviewed in India on 17 August 2020,GOUTAM G.,Wireless version not so great,"First of all I like to mention so huge numbers of reviews you see the products are actually for wired version. It was lauched during Prime day sale in first week of August, 2020 and already with 2200 reviews.. I had a good impression in Boult before I purchased this one.. The have done a trick by listing both wired and wireless version together on Amazon which I believe grossly wrong.. Moreover, they have mentioned battery life at one place as 12hr (headline), elsewhere as 16hrs (product description), but the real thing is on the product pack.. Clearly mentioned as 8hrs (see photo). It is simply cheating.. Now coming to the other aspects:. The sound quality is good and you have to choice the right ear gel. Here another limitation, though they have packed ear gel of 3 different sizes, the rubber hook is only single set, you can't replace.. Bass quality is not that good by native, have to use an equaliser to get desired effect. Mid and high are okay.. Yes it is dual pairing.. No bluetooth version revealed.. Not the driver size as well, checking the size, I could guess it's in 9-10mm range.. The wire length is also small (avoid if you have a heavy and wider neck, it won't fit you) and does not seat properly on neck, the left capsule on the wire which houses battery is heavier and wire shifts to that side resulting in asymmetric position (mic and in line control panel capsule that is on the right side, gets away from your mouth)..so not useful for work out sessions.. Now the battery life: it struggles to get 7hr life in fully charged, even at 50% volume. Most annoying part is that once you reach 30% it will continually say 'battery low' every 61 sec. And believe me it will drop to 10% in 10 min.. Good thing it Supports AptX and HDAC codecs, you have to tweak with developers option on few mobile sets (mine Redmi Note 6 Pro).. No product specifications are available either on pack or manual, which is really bad, this changes my impression for Boult. This is typically a Chinese product marketed in India.. Soundwise it is okaish, but if you want to have a good back up go for something else.",3.0 out of 5 stars
Reviewed in India on 29 June 2020,Anfield Rifle,Dreadful Earphones,"Awful experience....Been 15 days into buying this and has gone bad. I get chirping sounds on the earphone and also, it interferes in the mobiles display system making it go off.",1.0 out of 5 stars
Reviewed in India on 27 February 2020,Ajas Rehman,Not (after use edit)Built for purpose. Just what I did not needed.,"It comes in a no frills box, in fact a plain paper box, that you might pass off for a matchbox or a medimix soap box, if not for the labeling. There are other products out there which have elaborate packaging with all the glamour going with it , but are of very flimsy make and deservedly do not last more than a couple of months. Now these are about the build quality. I will update on the same review about how well it lasts the runs. I understand that earphones generally have to stick to strict size guidelines to stay in the market full of optics, and this one is no exception. So I am going to reinforce the joints that connect to the earbuds before I start using them.. Ok I m back after using it for a week or so, and boom the wires are shorting and the volume is being dragged down randomly. So not built for purpose",2.0 out of 5 stars
Reviewed in India on 14 March 2020,Varunbonthu,Mic doesn't work. High chances of receiving defect pieces,I've ordered twice. First time I returned since mic isn't working. And the second tine I received again the defect piece in which mic doesn't work. I don't know what the manufacturer is making of this,1.0 out of 5 stars
Reviewed in India on 1 October 2019,Brijendra,Misinformation,"On product packet ""L"" shape connector is mentioned. But actually another connector type is provided. Gross misinformation issue",1.0 out of 5 stars
Reviewed in India on 24 August 2020,Bhavya rajgor,Duplicate product,"I got duplicate product, i ordered the original boult audio and they gave me fake one's so i ordered for replacement and again i got duplicate earphone sound quality is trash and the warranty card is also not im working condition.. We are not fool's here that can't even differentiate between original and duplicate fake earphones. I'm not happy with this product.",1.0 out of 5 stars
Reviewed in India on 31 May 2020,Philip Anil Kumar,Excellent earphone out performs other's,Excellent product. Earlier I was using sinhisser C120 earphones but it's microphone stopped working. I was in search of product in a 500 rs range. I had also bought a realme 2 bud but it sounded like a 100 rs earphone. After going through many product review's I choose Boult earphone as it had a five star rating and all positive reviews. Its performance out performs all products in its price range. I wish it came with a carry pouch and magnetic earbuds.,5.0 out of 5 stars
Reviewed in India on 1 September 2020,Tuluraj Sahu,Performance is unbelievable. Don't think more just purchase,Overall the performance of this earphone is amazing . At the purchase time I think it's just an ordinary earphone just like other & price is higher but believe me I am wrong .. I never expecte more but i shocked when I use it first time .. Noise cancellation is amazing whis is unbelievable and bass quality is also good anough. *At this price range believe me I never got any product as compare to this Bault Audio. One last suggestion. Don't think more and just purchase it you gonna love this. And if you don't satisfy then you know what to do .. But I am sure this earphone boost you music experience,5.0 out of 5 stars
Reviewed in India on 20 September 2019,Amazon Customer,Awesome product with excellent sound quality..worth every penny!!,"I'm writting this review after 2 days of usage..these pair of earphones have excellent sound clarity and bass...i used realme buds 2, mi basic, boat 225, skull candy jibs.. but in some there is only bass where as in some there is no sound clarity..but in boult x1 all are crystal clear... Bass- 5/5. Vocals- 5/5. Clarity- 4.9/5. Mids- 4.9/5. Noise cancellation- 4.8/5. Pros:. Mettal finish. Comfortable. Light weight. Tangle free wire. Gold plated connector. Value for money. Cons:. Wire quality can be better although its good enough.. Connector shape can be more better... Verdict:. In 449₹ you cant get this crystal clear sound plus bass...go for it guys.. I'm in love with the sound.",5.0 out of 5 stars
