"review_title","review_text","review_star","page"
"







  
  
    iPhone 8
  
","









  
  
    
  I love the color it’s like a rose gold. Easy to use. Easy to transfer my information from my old phone. The only problem I have is when it’s turned completely off I have to plug it in to restart it

  
","5.0 out of 5 stars",59
"







  
  
    It works as it should
  
","









  
  
    
  After three tries I finally got an I phone 8 that works ax it’s should out ic the gate I’ll let you know I. 6 mo but so far excellent btw a mason is just so good at making it rightThank you amazon

  
","5.0 out of 5 stars",59
"







  
  
    Air bubbles under screen
  
","









  
  
    
  I purchased this for my son's birthday and there is air bubbles under the screen which makes it harder to press the screen.  I bought 3 different phone cases because the other 2 did not fit correctly because of the way the phone screen is improperly put on. I called customer service and was told I will receive a phone call from the seller but never did. I'm highly irritated because this was a gift.

  
","1.0 out of 5 stars",59
"







  
  
    Battery doesn't last
  
","









  
  
    
  Bought it on Oct. 26, today is Feb. 13 and the battery is already draining in about an hour. I am 2 weeks beyond the 30-day return policy. Not good.

  
","2.0 out of 5 stars",59
"







  
  
    Don’t buy from this seller
  
","









  
  
    
  I bought this phone as it is unlocked but then I went to put my SIM card in and it said that it was locked. Don’t buy from this seller

  
","1.0 out of 5 stars",59
"







  
  
    Limited battery life
  
","









  
  
    
  Not satisfied with the battery capacity, arrived with 80% life remaining. Also took 12 days before it was able to receive texts from android device. Carrier claims they did nothing to rectify, not sure I believe them. Condition of the phone is excellent, other than the battery.

  
","4.0 out of 5 stars",59
"







  
  
    Ok For the money
  
","









  
  
    
  It had scratches on the phone . But it was my daughters birthday present . Did not feel like returning it . The charging port and cable were not Apple. But I think it mentioned that . The phone was just inside the box . No wrapping whatsoever. Phone is good I guesS overall

  
","3.0 out of 5 stars",59
"







  
  
    Battery life seems lower than expected
  
","









  
  
    
  The renewed phone I got only had 84% battery health. It's only a few % better than my old phone that I used for a couple of years. Want to see what others got.

  
","3.0 out of 5 stars",59
"







  
  
    Impressed
  
","









  
  
    
  Awesome how you can get a great phone for cheap here. I took off one star because the was a small Nick on one of the edges but otherwise it looked pretty good.

  
","4.0 out of 5 stars",59
"







  
  
    Defective. Not worth paying $380.
  
","









  
  
    
  Received a defective phone:1. The boot screen would display a line either above or below the Apple logo occasionally. It would either show as a green line or a static line2. There was occasional lag when swiping through home screens and opening apps. I compared it to a friends iPhone 8 and the problem was specific to the phone I received3. The touch screen would not respond occasionally4. The battery would not display correct percentages. I once had the phone charging for 20 minutes and the percentage did not increase at all. After restarting the phone it showed the correct percentage.  This also happened while using the phone — the percentage would not decrease until restarting the phone5. The speaker sound quality sounded poor compared to my friends iPhone 8

  
","1.0 out of 5 stars",6
"







  
  
    Cuts on&off no good call connection
  
","









  
  
    
  The phone literally cut off & on On me like 10 times also the call will drop and says called failed. It’s nice and new but the phone system seems to have its own issues

  
","1.0 out of 5 stars",6
"







  
  
    Careful of the IMEI
  
","









  
  
    
  A word to the wise, have BREED check the IMEI of what they're sending you. IMEI's are specific to GSM or CDMA, and even if the phone is fully unlocked, if the IMEI doesn't match, it won't work. For example, Verizon and Sprint have compatible IMEI's, and AT&T and T Mobile are compatible.I got a phone, and the IMEI did not work with my network, which is how I learned about all of this.A word on BREED, though. They are very easy to talk to, and very helpful. I doubt you will have any trouble reaching someone who can help you get the right phone for your network. I returned my phone with no problems, and they were very understanding about the difficulty.

  
","3.0 out of 5 stars",6
"







  
  
    Great price! Phone works. A little wear. Works with Ting!
  
","









  
  
    
  The phone came as described in awesome packaging (as in, not just a cardboard box). The phone works great, it's fast compared to my iPhone SE, and was nearly flawless cosmetically. It had the signs of good use with a couple of scuffs, but that was covered up by the case I purchased. Besides, cosmetics don't affect the performance of the phone.Something I was a little leery about was the description, so here's my experience: The phone I received was unlocked and works great with Ting. The description said unlocked, but some reviewers mentioned that they received a GSM phone, and I was looking for CDMA. I received a phone that was unlocked that worked on either carrier network. I purchased from BuySPRY. I hope they don't mind I mentioned them.It is my understanding and from my research that unlocked and fully unlocked are roughly the same as carrier unlocked and factory unlocked. However, if the description specifies a specific network like ""unlocked GSM,"" then the phone will only work on GSM networks. Make sure to do your research on the phones before purchasing and contact the seller with questions. That's what I did and it worked out to my benefit.

  
","5.0 out of 5 stars",6
"







  
  
    Disappointed
  
","









  
  
    
  The product came with a scratch and little divet on the screen. When I first got it, it had a screen protector on, so I thought the screen protector had the divet- nope.  After accidentally dropping it, my phone screen cracked right through the divet. I have not had this phone long and am pretty disappointed as It is not even usable now. Now the screen shows many lines of colors. I should have sent it back at the beginning when I saw the divet but was willing to work with it. Make sure you do your due diligence when you first buy it to send it back if there is any issues with the screen!It’s a true unlocked Apple phone. Worked with at&t and Verizon (we switched carriers).

  
","1.0 out of 5 stars",6
"







  
  
    Careful purchasing used cellphones.
  
","









  
  
    
  I purchased this IPhone 8 for my mother in law. The phone was in excellent condition and operated perfectly for two months. After two months of use she could no longer get service on the phone. After contacting T-Mobile it was revealed the there is a carrier block on the phone and it cannot be used because the previous owner never paid the phone off. Just be aware this could happen and verify that the phone is clear and unlocked.

  
","1.0 out of 5 stars",6
"







  
  
    I should've expected what I got
  
","









  
  
    
  I ordered 2 phones, and should have expected the worst since what I got wasn't all that. One phone has a bunch of mini screen scratches, a few deeper ones, and an extremely deep one that was unavoidable (photos attached just of this one phone). Along with that, the phone came with a few dents and scratches around the edges anyway (which was ok and what I expected). The other phone I got had very very very few screen scratches and the minimal amount of expected dents on the side. On top of that, the way the home buttons felt when you pressed them felt different between the two of them. Both phones turned on fine, sound worked and touch screens worked normal. However I didn't even bother setting them up since I was going to return them.Since this item is $150 less than a new iPhone 8, doesn't come with Apple charger or headphones, the price difference wasn't worth it in my opinion and I ended up returning both of the phones. I'm leaving two stars since one of the phones was in decent shape and since I expected to possibly return these phones anyway. Just expect the worst but low-key hope for the best because in my case with was pretty much night and day between the two phones.

  
","2.0 out of 5 stars",6
"







  
  
    Exactly as described
  
","









  
  
    
  My phone was delivered in a timely manner and came in nice packaging. No scuffs or scratches on the screen or outside of the phone. I’m very content with the condition of this phone and it was easy to set up with the existing sim card I had in my old phone through Verizon! I will never buy a brand new phone from the store again! I do need to invest in a converter or some new headphones for the new port.

  
","4.0 out of 5 stars",6
"







  
  
    Stopped working out of nowhere
  
","









  
  
    
  The phone arrived a day before; looked brand new; and worked perfectly... For the first 2 days. In just 2 days the screen has went black and stopped working. The phone is still on as it had 80% charge and it is vibrating when I touch the home button, but the screen does not work. I am now turned off by the whole experience as the phone looked perfect and stopped working out of nowhere.

  
","1.0 out of 5 stars",6
"







  
  
    Looks, feels and functions like a new iPhone!
  
","









  
  
    
  I needed to replace my old iPhone 5S because of the slow processor speed and not so great camera.  The iPhone 8 was priced right and I'm very happy with it.  The hardest part of the upgrade was getting the sim card tray to open on my old phone.  My previous phone was also a refurbished unit which worked flawlessly for nearly four years.  I've had the new phone for about a week now and there is a lot of new functionality that I have yet to use so it will keep me entertained for a while becoming familiar with them.

  
","5.0 out of 5 stars",6
"







  
  
    Nice, unlocked and perfect for my niece.
  
","









  
  
    
  My niece is happy! Good phone and good price. I was scared because many people wrote that they weren't unlocked cellphones but it is working perfect in Ecuador.

  
","5.0 out of 5 stars",173
"







  
  
    Great phone
  
","









  
  
    
  Great phone. Easy to transfer data

  
","5.0 out of 5 stars",173
"







  
  
    Camera doesn’t work!
  
","









  
  
    
  The phone is all around fine cosmetically, but the back camera doesn’t work at all. Sending this back and super disappointed about the hassle and additional wait.

  
","2.0 out of 5 stars",173
"







  
  
    As described
  
","









  
  
    
  Perfect

  
","5.0 out of 5 stars",173
"







  
  
    selling defective phone
  
","









  
  
    
  the phone could not even turn on. since i did not return it after 90 days they will not do anything for you. taking it to apple you are responsible whatever costs that come with the repair.  This is just as stealing your money,

  
","1.0 out of 5 stars",173
"







  
  
    bad quality
  
","









  
  
    
  the microphone did not work

  
","1.0 out of 5 stars",173
"







  
  
    Too Small
  
","









  
  
    
  I'm not gone lie, when seen pictures like the one I took I thought the phone was big because of the picture. But it's not. But overall tho I like it, I just hate that it's small<U+0001F605>.

  
","5.0 out of 5 stars",173
"







  
  
    Read carefully
  
","









  
  
    
  Returned, thought it was a plus

  
","2.0 out of 5 stars",173
"







  
  
    Phone for mom
  
","









  
  
    
  I bought it for my mom.  Works great,  no issues and she loves it

  
","5.0 out of 5 stars",173
"







  
  
    Phone issues
  
","









  
  
    
  I bought this for my dad to upgrade him from his old phone. Took long (understandable tho). The phone looked perfect so we went to his carrier to try to activate it. It came up as blacklisted. DEFINITELY READ REVIEWS BEFORE BUYING THIS (update: I got a replacement phone. It worked fine)

  
","2.0 out of 5 stars",173
"







  
  
    Apple iPhone 8
  
","









  
  
    
  Super price! One of the best that apple manufacturered. Looks brand new. Great item

  
","5.0 out of 5 stars",155
"







  
  
    This was a pristine iPhone8, did not appear used.  Battery Health 100%
  
","









  
  
    
  I now have bought multiple iPhone8s for family members from this site.  All graded out over 80% on Battery Health, which was the major consideration for the upgrades from older iPhones.

  
","5.0 out of 5 stars",155
"







  
  
    The phone is great
  
","









  
  
    
  Everything works its look brand new feels brand new im going to buy another one for my YoungestUpdate phone dropped not even that hard and display went black.

  
","2.0 out of 5 stars",155
"







  
  
    Good deal
  
","









  
  
    
  Bought for my grand kids they loved it

  
","4.0 out of 5 stars",155
